ID,Name
11,Aaron Swartz
21,Aaron Wasserman
10,Alexis Ohanian
16,Andrew McCollum
7,Biz Stone
27,Bobby Murphy
12,Bobby Murphy (businessman)
45,Brendan Eich
34,Brendan Iribe
37,Brian Acton
42,Chen Yidan
3,Chris Hughes
26,Colin Kroll
18,Cristian Strat
24,Dom Hofmann
13,Dustin Moskovitz
14,Eduardo Saverin
4,Evan Spiegel
32,Evan Williams
5,Evan Williams (Internet entrepreneur)
23,Geraint Davies[1]
49,Guido van Rossum
8,Jack Dorsey
48,James Gosling
38,Jan Koum
20,Joe Bernstein
19,Kayvon Beykpour
29,Kevin Systrom
39,Ma Huateng
15,Mark Zuckerberg
46,Martin Odersky
35,Michael Antonov
30,Mike Krieger
1,Mike Schroepfer
17,Mircea Paşoi
36,Nate Mitchell
31,Noah Glass
6,Omid Kordestani
33,Palmer Luckey
28,Reggie Brown
25,Rus Yusupov
2,Sheryl Sandberg
9,Steve Huffman
22,Tyler Hansen
41,Xu Chenye
47,Yukihiro Matsumoto
43,Zeng Liqing
40,Zhang Zhidong
