ID,name
11,Aaron Swartz
21,Aaron Wasserman
10,Alexis Ohanian
16,Andrew McCollum
7,Biz Stone
12,Bobby Murphy
42,Brendan Eich
32,Brendan Iribe
35,Brian Acton
40,Chen Yidan
3,Chris Hughes
26,Colin Kroll
18,Cristian Strat
24,Dom Hofmann
13,Dustin Moskovitz
14,Eduardo Saverin
4,Evan Spiegel
5,Evan Williams
23,Geraint Davies[1]
46,Guido van Rossum
8,Jack Dorsey
45,James Gosling
36,Jan Koum
20,Joe Bernstein
19,Kayvon Beykpour
28,Kevin Systrom
37,Ma Huateng
15,Mark Zuckerberg
43,Martin Odersky
33,Michael Antonov
29,Mike Krieger
1,Mike Schroepfer
17,Mircea Paşoi
34,Nate Mitchell
30,Noah Glass
6,Omid Kordestani
31,Palmer Luckey
27,Reggie Brown
25,Rus Yusupov
2,Sheryl Sandberg
9,Steve Huffman
22,Tyler Hansen
39,Xu Chenye
44,Yukihiro Matsumoto
41,Zeng Liqing
38,Zhang Zhidong
